iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ZAF,Africa,South Africa,2020-03-08,2.0,2.0,0.286,,0.0,0.0,0.033,0.033,0.005,,0.0,0.0,,0.0,0.0,,,,,,,,,,,27.0,0.0,,,people tested,,,,,,,,,,,,,,13.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,2114.8,2.28,5.03,35.96481
ZAF,Africa,South Africa,2020-03-09,2.0,0.0,0.286,,0.0,0.0,0.033,0.0,0.005,,0.0,0.0,,0.0,0.0,,,,,,,,,,,40.0,0.001,,,people tested,,,,,,,,,,,,,,13.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
ZAF,Africa,South Africa,2020-03-10,2.0,0.0,0.286,,0.0,0.0,0.033,0.0,0.005,,0.0,0.0,,0.0,0.0,,,,,,,,,,,54.0,0.001,0.0185,54.0,people tested,,,,,,,,,,,,,,13.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
ZAF,Africa,South Africa,2020-03-11,2.0,0.0,0.286,,0.0,0.0,0.033,0.0,0.005,,0.0,0.0,,0.0,0.0,,,,,,,645.0,,0.011,,67.0,0.001,0.0277,36.1,people tested,,,,,,,,,,,,,,13.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
ZAF,Africa,South Africa,2020-03-12,2.0,0.0,0.286,,0.0,0.0,0.033,0.0,0.005,,0.0,0.0,,0.0,0.0,,,,,,,848.0,203.0,0.014,0.003,94.0,0.002,0.0243,41.1,people tested,,,,,,,,,,,,,,13.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
ZAF,Africa,South Africa,2020-03-13,2.0,0.0,0.286,,0.0,0.0,0.033,0.0,0.005,,0.0,0.0,,0.0,0.0,,,,,,,924.0,76.0,0.016,0.001,103.0,0.002,0.0319,31.3,people tested,,,,,,,,,,,,,,13.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
ZAF,Africa,South Africa,2020-03-14,2.0,0.0,0.286,,0.0,0.0,0.033,0.0,0.005,,0.0,0.0,,0.0,0.0,,,,,,,1017.0,93.0,0.017,0.002,111.0,0.002,0.0476,21.0,people tested,,,,,,,,,,,,,,13.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
ZAF,Africa,South Africa,2020-03-15,38.0,36.0,5.143,,0.0,0.0,0.634,0.601,0.086,,0.0,0.0,,0.0,0.0,,,,,,,1476.0,459.0,0.025,0.008,162.0,0.003,0.0423,23.6,people tested,,,,,,,,,,,,,,19.44,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,2360.3,2.32,2.69,40.139843
ZAF,Africa,South Africa,2020-03-16,38.0,0.0,5.143,,0.0,0.0,0.634,0.0,0.086,,0.0,0.0,,0.0,0.0,,,,,,,2405.0,929.0,0.04,0.016,280.0,0.005,0.0301,33.2,people tested,,,,,,,,,,,,,,38.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
ZAF,Africa,South Africa,2020-03-17,38.0,0.0,5.143,,0.0,0.0,0.634,0.0,0.086,,0.0,0.0,,0.0,0.0,,,,,,,2911.0,506.0,0.049,0.009,338.0,0.006,0.0232,43.0,people tested,,,,,,,,,,,,,,38.89,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
